partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank),interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
6382,20791,16,502,18162,2629,3354,0,0,0,0
6383,20556,18,588,17927,2629,3332,0,0,0,0
6384,20790,13,426,18398,2392,3094,0,0,0,0
6385,20724,17,512,18281,2443,3094,0,0,0,0
6386,20732,17,547,18217,2515,3230,0,0,0,0
6387,20562,14,547,18096,2466,3114,0,0,0,0
6388,20942,18,532,18486,2456,3180,0,0,0,0
6389,20557,16,532,17825,2732,3288,0,0,0,0
6390,20568,12,456,18437,2131,2547,0,0,0,467
6391,20793,11,466,18810,1983,2519,0,0,0,591
6392,20766,11,478,18826,1940,2432,0,0,0,570
6393,20776,12,478,18665,2111,2663,0,0,0,365
6394,20735,14,487,18378,2357,3024,0,0,0,0
6395,20766,19,662,17687,3079,3936,0,0,0,0
6396,20880,15,576,18644,2236,2974,0,0,0,0
6397,20668,15,576,18137,2531,3294,0,0,0,0
6398,20722,16,541,18235,2487,3184,0,0,0,0
6399,20813,16,481,18373,2440,3112,0,0,0,0
6400,20685,18,502,18091,2594,3402,0,0,0,0
6401,20711,17,511,18361,2350,3062,0,0,0,0
6402,20750,11,511,18864,1886,2420,0,0,0,574
6403,20681,15,541,18221,2460,3134,0,0,0,0
6404,20695,12,393,18612,2083,2607,0,0,0,477
6405,20770,8,765,18804,1966,2570,0,0,0,528
6406,20692,16,765,18132,2560,3324,0,0,0,0
6407,20880,17,691,18457,2423,3206,0,0,0,0
6408,20830,11,691,18867,1963,2512,0,0,0,552
6409,20705,12,533,18357,2348,2981,0,0,0,187
6410,20793,11,550,18464,2329,3026,0,0,0,120
